003145880 to 571083522 (777 seconds)
004632017 to Jose Nunes (205 seconds)
005868386 to Tomas Melo (265 seconds)
012013590 to Dinis Melo (264 seconds)
017622405 to Ana Nunes (410 seconds)
018850734 to Sergio Melo (175 seconds)
034088450 to Antonio Pacheco (765 seconds)
036984959 to Mariana Silva (610 seconds)
044374105 to Luisa Alberto (259 seconds)
046326766 to Pedro Nunes (814 seconds)
051393287 to Ana Nunes (673 seconds)
052192525 to Rui Tavares (776 seconds)
052197128 to Pedro Nunes (374 seconds)
052703191 to Luisa Alberto (753 seconds)
063947630 to Paulo Silva (701 seconds)
083038364 to Maria Tavares (265 seconds)
093549020 to Mario Pereira (763 seconds)
097908295 to Paulo Pereira (333 seconds)
099388735 to Miguel Teixeira (702 seconds)
102985400 to Maria Tavares (817 seconds)
103762131 to Rui Tavares (552 seconds)
105894071 to Mariana Melo (22 seconds)
107134998 to Sergio Tavares (618 seconds)
109558993 to Luis Teixeira (855 seconds)
109900967 to Tiago Tavares (280 seconds)
113030186 to Paula Pereira (557 seconds)
114919167 to 981487011 (80 seconds)
115279144 to Paulo Nunes (697 seconds)
154000673 to Paula Pacheco (851 seconds)
161088428 to Dinis Nunes (122 seconds)
165240382 to Rui Alberto (474 seconds)
171598009 to Tomas Melo (726 seconds)
173057623 to Mariana Teixeira (370 seconds)
176077966 to Sergio Oliveira (506 seconds)
187743788 to Maria Pereira (542 seconds)
190324586 to Pedro Silva (201 seconds)
190822757 to Sergio Pereira (557 seconds)
194976467 to Jose Pereira (877 seconds)
197859113 to Joao Tavares (674 seconds)
198350064 to Rui Nunes (479 seconds)
202643048 to Paula Teixeira (149 seconds)
213676885 to Mario Nunes (473 seconds)
217173925 to Antonio Nunes (172 seconds)
218704521 to Tomas Oliveira (353 seconds)
222580844 to Luis Oliveira (50 seconds)
227969608 to Jose Oliveira (578 seconds)
228256935 to Tiago Pacheco (187 seconds)
238102139 to Miguel Alberto (355 seconds)
240052288 to Tomas Pereira (757 seconds)
244713320 to Dinis Alberto (846 seconds)
246455981 to Mario Alberto (209 seconds)
246774923 to Pedro Teixeira (118 seconds)
249164766 to Miguel Nunes (390 seconds)
251363278 to Luisa Pacheco (588 seconds)
252709082 to Dinis Pereira (206 seconds)
257939116 to Paulo Alberto (403 seconds)
258236631 to Miguel Melo (522 seconds)
